label_id,matched_wording,product_type,product_construction,product_material,product_treatment,product_type_status,review_status,reviewed_by,review_note
gold-00108d0374819bad,Painting Kit,Painting Kit,,,,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-001e9425907a5bb0,Decorative Letter,Decorative Letter,Weighted,Fabric,,accepted,reviewed,Codex independent construction gold reviewer,With weighted bottom explicitly describes physical letter construction; not an artwork word or numeric weight/dimension. Weighted follows existing same-phrase canonical peers.
gold-006182fe7f341df8,Framed Print,Framed Print,Floating Frame,Paper,Embossed; Foil,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned. Source class correction: explicit Oxford means Fabric; floating character physical form and floating frame vocabulary retained.
gold-006742f0a7172e64,Storage Hamper,Storage Hamper,Pop-Up,Polyester,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-00d8dd236c90c96e,Tile,Tile,Hexagonal,,,accepted,reviewed,Codex evaluation agent independent full source review,Explicit source product wording; assortment/sample words do not erase product evidence.
gold-013c647f4ef02d3f,Canvas,Canvas,,Canvas,Foil; Gravel; Handpaint,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed underscore product group; suffix semantic contexts checked; no reader predictions
gold-0152262df528fe16,Memo Board,Memo Board,,Felt,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-02142713e4312f6b,Framed Print,Framed Print,Deckled Edge; Framed,Glass; Linen,,accepted,reviewed,Codex independent catalog reviewer,Canonical explicit edge modifier; peer deckled prints use Deckled Edge.
gold-024bec37a4878990,Framed Art,Framed Art,Framed,Glass,Foil,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-02a13cf4044145f5,Framed Collage,Framed Collage,Framed,,,accepted,reviewed,Codex independent catalog reviewer,Physical wording and modifiers independently reviewed against source
gold-02d9bb96fecd9244,Storage Hamper,Storage Hamper,,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-034c427ce34a653d,Sign,Sign,Hanging,MDF,Glitter,accepted,reviewed,Codex independent construction gold reviewer,Hanging rope or hanging sign explicitly states physical placement/construction.
gold-038cb03df37ff2c6,Framed Art,Framed Art,Framed; Squiggle,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-03d4bc236fe78e7e,Framed Glass Shadowbox,Framed Glass Shadowbox,Framed; Frayed,Glass; Linen,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-0412251e5868d4c7,Block,Block,,Ceramic,,accepted,reviewed,Codex independent construction gold reviewer,"Physical source wording; dimensions, licensor, property, color and artwork excluded."
gold-04153848202b02d9,Framed Print,Framed Print,Framed; Setback,MDF,Glitter,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-0454f1cbc7e85ef8,Framed Fabric Art,Framed Fabric Art,Framed,Linen,,accepted,reviewed,Codex independent catalog reviewer,Physical wording and modifiers independently reviewed against source
gold-0474a287d8392f0e,Writing Desk,Writing Desk,With Legs,,,accepted,reviewed,Codex independent catalog reviewer,Canonical physical support phrase; no inference from artwork.
gold-04a0f0553a616668,Framed Art,Framed Art,Deckled Edge; Framed; Matted,Paper,Foil,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-04d8de4782414b06,Photo Frame,Photo Frame,Die-Cut Attachment,MDF,,accepted,reviewed,Codex independent catalog reviewer,"Diecut directly modifies Lion Attachment, not the Photo Frame body; scope construction to Die-Cut Attachment and do not infer whole-frame cutting."
gold-0516eeb97c8b7cec,Canvas,Canvas,,Canvas,Glue Embellishment,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-053e8e34367f82eb,Hard Storage Box,Hard Storage Box,Lift-Off; Shaped,Greyboard,Foil,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-05487fba2b56fe50,Framed Canvas,Framed Canvas,Floating Frame,Canvas,Spot Varnish,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed underscore product group; suffix semantic contexts checked; no reader predictions
gold-05a2caa59b7fbc7d,Clock,Clock,Die-Cut; Step Movement,MDF,,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-0615f4539f54f68a,Framed Art,Framed Art,Framed; Matted; Squiggle,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-0619b4da65bf46bf,Sign,Sign,Shaped,Metal,,accepted,reviewed,Codex primary implementer,Source physical-wording and suffix-attribute groups independently inspected. Artwork nouns and material-looking substrings excluded; no MG codes or reader predictions.
gold-06d2821a66e9636b,Perpetual Calendar,Perpetual Calendar,Block,MDF,,accepted,reviewed,Codex independent construction gold reviewer,"Explicit MDF block is a physical calendar form; compare the independently labelled block MDF perpetual calendar family. Prefix artwork, licensor, property, size and color excluded."
gold-06d7fddf7f7eaa67,Mat,Mat,,,,accepted,reviewed,Codex primary implementer,Independent source wording group review and complete atypical attribute suffix review; no reader predictions. Mat placement never inferred; poly alone does not establish a specific polymer.
gold-07044b6ab69f359c,Desktop Organizer,Desktop Organizer,,Fabric,,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-0788548e4238b972,Storage Box,Storage Box,Shaped,Greyboard,Foil,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-07b670faf6270f20,Hard Storage Box,Hard Storage Box,Lift-Off,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-080952d1ef804821,Pencil Cup,Pencil Cup,,Greyboard,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-080ddbf888402f6c,Storage Bin,Storage Bin,,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-0835b947280dd2f0,Gel Sticker,Gel Sticker,,,,accepted,reviewed,Codex evaluation agent independent full source review,Explicit source product wording; assortment/sample words do not erase product evidence.
gold-0862f7132855cdaf,Framed Print,Framed Print,Framed; Setback,MDF; Paper,,accepted,reviewed,Codex independent partition three source reviewer,Setback and framed are both explicit physical construction words; the existing Framed label omitted Setback.
gold-086a419198ee8fd2,Lap Desk,Lap Desk,,Sponge,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-089de08c4a4e04ed,Outdoor Mat,Outdoor Mat,,,,accepted,reviewed,Codex primary implementer,Independent source wording group review and complete atypical attribute suffix review; no reader predictions. Mat placement never inferred; poly alone does not establish a specific polymer.
gold-08c74d6751999879,Storage Chest,Storage Chest,,Felt,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-08fccef74f8835fa,Paper Shade,Paper Shade,,Paper,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-09258373059985b9,Hanging Closet Organizer,Hanging Closet Organizer,Hanging,Fabric,,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-09451da9be141512,Frame,Frame,,MDF,Textured,accepted,reviewed,Codex independent product-type gold reviewer,Source explicitly identifies an MDF frame as the physical product; artwork/scene inside or on it does not make the product Framed Art.
gold-0964c6bbdd760a57,Pencil Cup,Pencil Cup,,Acrylic,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-09899d1c507edf7d,Mat,Mat,Half-Circle,Coir,,accepted,reviewed,Codex independent construction gold reviewer,Half-circle explicitly names the physical mat shape.
gold-09d81e81cf6ec22a,Mat,Mat,Anti-Fatigue,PVC,,accepted,reviewed,Codex primary implementer,Independent source wording group review and complete atypical attribute suffix review; no reader predictions. Mat placement never inferred; poly alone does not establish a specific polymer.
gold-0a392debff971753,Framed Art,Framed Art,Framed; Setback,Chenille,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-0a96a20a4dd19f88,Framed Print,Framed Print,Framed,MDF,High Gloss,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-0ad868b4c2757f9a,Decorative Figure,Decorative Figure,Die-Cut,MDF,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-0add8467197b14d1,Foam Art,Foam Art,,Foam,,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-0c43e331cbc5e503,Framed Glass Art,Framed Glass Art,Framed; Hexagonal,Glass,Painted,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
